,time,year,cntry_code,cntry_name,cntry_region,measure,subject,value
0,1960-01-01,1960,AUS,Australia,Oceania,KTOE,TOT,4436.932
1,1961-01-01,1961,AUS,Australia,Oceania,KTOE,TOT,4490.51
2,1962-01-01,1962,AUS,Australia,Oceania,KTOE,TOT,4407.097
3,1963-01-01,1963,AUS,Australia,Oceania,KTOE,TOT,4628.738
4,1964-01-01,1964,AUS,Australia,Oceania,KTOE,TOT,4497.396
5,1965-01-01,1965,AUS,Australia,Oceania,KTOE,TOT,4716.131
6,1966-01-01,1966,AUS,Australia,Oceania,KTOE,TOT,4445.378
7,1967-01-01,1967,AUS,Australia,Oceania,KTOE,TOT,4574.63
8,1968-01-01,1968,AUS,Australia,Oceania,KTOE,TOT,4472.375
9,1969-01-01,1969,AUS,Australia,Oceania,KTOE,TOT,4525.867
10,1970-01-01,1970,AUS,Australia,Oceania,KTOE,TOT,4303.981
11,1971-01-01,1971,AUS,Australia,Oceania,KTOE,TOT,4553.489
12,1972-01-01,1972,AUS,Australia,Oceania,KTOE,TOT,4622.984
13,1973-01-01,1973,AUS,Australia,Oceania,KTOE,TOT,4508.661
14,1974-01-01,1974,AUS,Australia,Oceania,KTOE,TOT,4816.063
15,1975-01-01,1975,AUS,Australia,Oceania,KTOE,TOT,4962.457
16,1976-01-01,1976,AUS,Australia,Oceania,KTOE,TOT,5015.497
17,1977-01-01,1977,AUS,Australia,Oceania,KTOE,TOT,4853.343
18,1978-01-01,1978,AUS,Australia,Oceania,KTOE,TOT,4882.381
19,1979-01-01,1979,AUS,Australia,Oceania,KTOE,TOT,4880.427
20,1980-01-01,1980,AUS,Australia,Oceania,KTOE,TOT,4745.184
21,1981-01-01,1981,AUS,Australia,Oceania,KTOE,TOT,5062.69
22,1982-01-01,1982,AUS,Australia,Oceania,KTOE,TOT,5172.905
23,1983-01-01,1983,AUS,Australia,Oceania,KTOE,TOT,5005.976
24,1984-01-01,1984,AUS,Australia,Oceania,KTOE,TOT,4911.968
25,1985-01-01,1985,AUS,Australia,Oceania,KTOE,TOT,5165.209
26,1986-01-01,1986,AUS,Australia,Oceania,KTOE,TOT,4728.9
27,1987-01-01,1987,AUS,Australia,Oceania,KTOE,TOT,4700.334
28,1988-01-01,1988,AUS,Australia,Oceania,KTOE,TOT,4809.335
29,1989-01-01,1989,AUS,Australia,Oceania,KTOE,TOT,4981.233
30,1990-01-01,1990,AUS,Australia,Oceania,KTOE,TOT,5073.658
31,1991-01-01,1991,AUS,Australia,Oceania,KTOE,TOT,5192.295
32,1992-01-01,1992,AUS,Australia,Oceania,KTOE,TOT,4727.618
33,1993-01-01,1993,AUS,Australia,Oceania,KTOE,TOT,5482.017
34,1994-01-01,1994,AUS,Australia,Oceania,KTOE,TOT,5381.648
35,1995-01-01,1995,AUS,Australia,Oceania,KTOE,TOT,5530.849
36,1996-01-01,1996,AUS,Australia,Oceania,KTOE,TOT,6108.649
37,1997-01-01,1997,AUS,Australia,Oceania,KTOE,TOT,6398.393
