country_name,country_code,year,value
Afghanistan,AFG,1960,537777811.1
Afghanistan,AFG,1961,548888895.6
Afghanistan,AFG,1962,546666677.8
Afghanistan,AFG,1963,751111191.1
Afghanistan,AFG,1964,800000044.4
Afghanistan,AFG,1965,1006666638
Afghanistan,AFG,1966,1399999967
Afghanistan,AFG,1967,1673333418
Afghanistan,AFG,1968,1373333367
Afghanistan,AFG,1969,1408888922
Afghanistan,AFG,1970,1748886596
Afghanistan,AFG,1971,1831108971
Afghanistan,AFG,1972,1595555476
Afghanistan,AFG,1973,1733333264
Afghanistan,AFG,1974,2155555498
Afghanistan,AFG,1975,2366666616
Afghanistan,AFG,1976,2555555567
Afghanistan,AFG,1977,2953333418
Afghanistan,AFG,1978,3300000109
Afghanistan,AFG,1979,3697940410
Afghanistan,AFG,1980,3641723322
Afghanistan,AFG,1981,3478787909
Afghanistan,AFG,2002,3854235264
Afghanistan,AFG,2003,4539496563
Afghanistan,AFG,2004,5220825049
Afghanistan,AFG,2005,6226198935
Afghanistan,AFG,2006,6971383339
Afghanistan,AFG,2007,9715765105
Afghanistan,AFG,2008,10249770319
Afghanistan,AFG,2009,12154835708
Afghanistan,AFG,2010,15633843662
Afghanistan,AFG,2011,18190413832
Afghanistan,AFG,2012,20203572960
Afghanistan,AFG,2013,20564485419
Afghanistan,AFG,2014,20550582747
Afghanistan,AFG,2015,19998143636
Afghanistan,AFG,2016,18019554403
Afghanistan,AFG,2017,18896353156
Afghanistan,AFG,2018,18418860354
Afghanistan,AFG,2019,18904502222
Afghanistan,AFG,2020,20143451706
Afghanistan,AFG,2021,14583135237
Africa Eastern and Southern,AFE,1960,21125015452
Africa Eastern and Southern,AFE,1961,21616228139
Africa Eastern and Southern,AFE,1962,23506279900
Africa Eastern and Southern,AFE,1963,28048360188
Africa Eastern and Southern,AFE,1964,25920665260
Africa Eastern and Southern,AFE,1965,29472103270
Africa Eastern and Southern,AFE,1966,32014368121
Africa Eastern and Southern,AFE,1967,33269509510
Africa Eastern and Southern,AFE,1968,36327785495
Africa Eastern and Southern,AFE,1969,41638967621
Africa Eastern and Southern,AFE,1970,44629891649
Africa Eastern and Southern,AFE,1971,49173371529
Africa Eastern and Southern,AFE,1972,53123459912
Africa Eastern and Southern,AFE,1973,69482723444
Africa Eastern and Southern,AFE,1974,85380645042
Africa Eastern and Southern,AFE,1975,90835426418
Africa Eastern and Southern,AFE,1976,90212747243
Africa Eastern and Southern,AFE,1977,1.02E+11
Africa Eastern and Southern,AFE,1978,1.16E+11
Africa Eastern and Southern,AFE,1979,1.34E+11
Africa Eastern and Southern,AFE,1980,1.71E+11
Africa Eastern and Southern,AFE,1981,1.76E+11
Africa Eastern and Southern,AFE,1982,1.68E+11
Africa Eastern and Southern,AFE,1983,1.76E+11
Africa Eastern and Southern,AFE,1984,1.61E+11
Africa Eastern and Southern,AFE,1985,1.37E+11
Africa Eastern and Southern,AFE,1986,1.53E+11
Africa Eastern and Southern,AFE,1987,1.87E+11
Africa Eastern and Southern,AFE,1988,2.05E+11
Africa Eastern and Southern,AFE,1989,2.18E+11
Africa Eastern and Southern,AFE,1990,2.54E+11
Africa Eastern and Southern,AFE,1991,2.77E+11
Africa Eastern and Southern,AFE,1992,2.46E+11
Africa Eastern and Southern,AFE,1993,2.43E+11
Africa Eastern and Southern,AFE,1994,2.40E+11
Africa Eastern and Southern,AFE,1995,2.70E+11
Africa Eastern and Southern,AFE,1996,2.69E+11
Africa Eastern and Southern,AFE,1997,2.83E+11
Africa Eastern and Southern,AFE,1998,2.67E+11
Africa Eastern and Southern,AFE,1999,2.63E+11
Africa Eastern and Southern,AFE,2000,2.85E+11
Africa Eastern and Southern,AFE,2001,2.60E+11
Africa Eastern and Southern,AFE,2002,2.67E+11
Africa Eastern and Southern,AFE,2003,3.54E+11
Africa Eastern and Southern,AFE,2004,4.40E+11
Africa Eastern and Southern,AFE,2005,5.14E+11
Africa Eastern and Southern,AFE,2006,5.78E+11
Africa Eastern and Southern,AFE,2007,6.63E+11
Africa Eastern and Southern,AFE,2008,7.11E+11
Africa Eastern and Southern,AFE,2009,7.22E+11
Africa Eastern and Southern,AFE,2010,8.64E+11
Africa Eastern and Southern,AFE,2011,9.68E+11
Africa Eastern and Southern,AFE,2012,9.75E+11
Africa Eastern and Southern,AFE,2013,9.86E+11
Africa Eastern and Southern,AFE,2014,1.01E+12
Africa Eastern and Southern,AFE,2015,9.27E+11
Africa Eastern and Southern,AFE,2016,8.85E+11
Africa Eastern and Southern,AFE,2017,1.02E+12
Africa Eastern and Southern,AFE,2018,1.01E+12
Africa Eastern and Southern,AFE,2019,1.00E+12
Africa Eastern and Southern,AFE,2020,9.28E+11
Africa Eastern and Southern,AFE,2021,1.08E+12
Africa Eastern and Southern,AFE,2022,1.17E+12
Africa Western and Central,AFW,1960,10447637853
