continent;name;code
Africa;Algeria;DZA
Africa;Angola;AGO
Africa;Benin;BEN
Africa;Botswana;BWA
Africa;Burkina Faso;BFA
Africa;Burundi;BDI
Africa;Cameroon;CMR
Africa;Cape Verde;CPV
Africa;Central African Republic;CAF
Africa;Chad;TCD
Africa;Comoros;COM
Africa;Congo;COG
Africa;Congo(the Democratic Republic);COD
Africa;Côted Ivoire;CIV
Africa;Djibouti;DJI
Africa;Egypt;EGY
Africa;Equatorial Guinea;GNQ
Africa;Eritrea;ERI
Africa;Ethiopia;ETH
Africa;Gabon;GAB
Africa;Gambia;GMB
Africa;Ghana;GHA
Africa;Guinea;GIN
Africa;Guinea Bissau;GNB
Africa;Kenya;KEN
Africa;Lesotho;LSO
Africa;Liberia;LBR
Africa;Libyan Arab Jamahiriya;LBY
Africa;Madagascar;MDG
Africa;Malawi;MWI
Africa;Mali;MLI
Africa;Mauritania;MRT
Africa;Mauritius;MUS
Africa;Mayotte;MYT
Africa;Morocco;MAR
Africa;Mozambique;MOZ
Africa;Namibia;NAM
Africa;Niger;NER
Africa;Nigeria;NGA
Africa;Réunion;REU
Africa;Rwanda;RWA
Africa;Saint Helena;SHN
Africa;Sao Tomeand Principe;STP
Africa;Senegal;SEN
Africa;Seychelles;SYC
Africa;Sierra Leone;SLE
Africa;Somalia;SOM
Africa;South Africa;ZAF
Africa;South Sudan;SSD
Africa;Sudan;SDN
Africa;Swaziland;SWZ
Africa;Tanzania United Republicof;TZA
Africa;Togo;TGO
Africa;Tunisia;TUN
Africa;Uganda;UGA
Africa;Western Sahara;ESH
Africa;Zambia;ZMB
Africa;Zimbabwe;ZWE
Antarctica North;Antarctica;ATA
Antarctica North;Bouvet Island;BVT
Antarctica North;French Southern Territories;ATF
Antarctica North;HeardIslandandMc Donald Islands;HMD
Antarctica North;SouthGeorgiaandtheSouth Sandwich Islands;SGS
Asia;Afghanistan;AFG
Asia;Armenia;ARM
Asia;Azerbaijan;AZE
Asia;Bahrain;BHR
Asia;Bangladesh;BGD
Asia;Bhutan;BTN
Asia;BritishIndian Ocean Territory;IOT
Asia;Brunei Darussalam;BRN
Asia;Cambodia;KHM
Asia;China;CHN
Asia;Christmas Island;CXR
Asia;Cocos Keeling )Islands;CCK
Asia;Cyprus;CYP
Asia;Georgia;GEO
Asia;Hong Kong;HKG
Asia;India;IND
Asia;Indonesia;IDN
Asia;Iran (Islamic Republic of);IRN
Asia;Iraq;IRQ
Asia;Israel;ISR
Asia;Japan;JPN
Asia;Jordan;JOR
Asia;Kazakhstan;KAZ
Asia;Korea-DemocraticPeople People's Republicof;PRK
Asia;Korea Republicof;KOR
Asia;Kuwait;KWT
Asia;Kyrgyzstan;KGZ
Asia;LaoPeople's Democratic Republic;LAO
Asia;Lebanon;LBN
Asia;Macao;MAC
Asia;Malaysia;MYS
Asia;Maldives;MDV
Asia;Mongolia;MNG
Asia;Myanmar;MMR
Asia;Nepal;NPL
Asia;Oman;OMN
Asia;Pakistan;PAK
Asia;Palestinian Territory -Occupied;PSE
Asia;Philippines;PHL
Asia;Qatar;QAT
Asia;Saudi Arabia;SAU
Asia;Singapore;SGP
Asia;Sri Lanka;LKA
Asia;Syrian Arab Republic;SYR
Asia;Taiwan Provinceof China;TWN
Asia;Tajikistan;TJK
Asia;Thailand;THA
Asia;Timor Leste;TLS
Asia;Turkmenistan;TKM
Asia;United Arab Emirates;ARE
Asia;Uzbekistan;UZB
Asia;Vietnam;VNM
Asia;Yemen;YEM
Europe;Åland Islands;ALA
Europe;Albania;ALB
